title,title_norm,standardized_job_title,job_title,hiring_company,period_start_date,period_end_date,unique_application_clicks,unique_visitors,duration_days
Traineeship Hypotheekacceptatie,traineeship hypotheekacceptatie,Financiën,Traineeship Hypotheekacceptatie,Brunel,2024-10-18,2024-11-17,0,2,30.0
Team Brunel Engineer,team brunel engineer,Ingenieur,Team Brunel Engineer,Brunel,2017-08-22,2017-09-13,0,2,22.0
Embedded Software Engineer (Automotive),embedded software engineer (automotive),,Embedded Software Engineer (Automotive),Brunel,2024-01-31,2024-04-27,0,1,87.0
Projectmanager IT,projectmanager it,,Projectmanager IT,Brunel,2019-09-20,2019-10-14,0,2,24.0
Projectmanager IT Infra,projectmanager it infra,,Projectmanager IT Infra,Brunel,2018-02-28,2018-03-29,0,1,29.0
Senior Legal Counsel,senior legal counsel,,Senior Legal Counsel,Brunel,2024-06-03,2024-08-02,0,2,60.0
Traineeship Maintenance Engineer - Food,traineeship maintenance engineer - food,,Traineeship Maintenance Engineer - Food,Brunel,2017-04-11,2017-05-11,0,1,30.0
Senior Mechanical Engineer,senior mechanical engineer,Senior werktuigbouwkundige,Senior Mechanical Engineer,Brunel,2017-10-10,2017-11-09,0,1,30.0
Junior Business Controller,junior business controller,Junior controller,Junior Business Controller,Brunel,2024-10-28,2024-11-27,0,2,30.0
.NET Developer,.net developer,,.NET Developer,Brunel,2021-02-26,2021-03-19,0,1,21.0
Java Developer (Spring Boot),java developer (spring boot),,Java Developer (Spring Boot),Brunel,2024-07-01,2024-09-15,0,1,76.0
Senior KYC Specialist,senior kyc specialist,Specialist in de bestrijding van witwassen,Senior KYC Specialist,Brunel,2024-10-28,2024-11-27,0,2,30.0
Senior Marketing Project Manager,senior marketing project manager,Senior Marketing Project Manager,Senior Marketing Project Manager,Brunel,2020-07-30,2020-08-03,0,1,4.0
Operations Officer,operations officer,,Operations Officer,Brunel,2024-01-26,2024-02-25,0,1,30.0
Medewerker Hypotheken Bijzonder Beheer,medewerker hypotheken bijzonder beheer,Medewerker hypotheken,Medewerker Hypotheken Bijzonder Beheer,Brunel,2019-01-31,2019-03-02,0,1,30.0
E&I Technician,e&i technician,,E&I Technician,Brunel,2024-06-03,2024-08-13,0,1,71.0
Jurist Rechtsbijstand (Junior),jurist rechtsbijstand (junior),,Jurist Rechtsbijstand (Junior),Brunel,2024-05-13,2024-06-12,0,1,30.0
Financial Controller Brunel,financial controller brunel,,Financial Controller Brunel,Brunel,2023-01-09,2023-02-06,0,1,28.0
Jurist Rechtsbijstand (medior),jurist rechtsbijstand (medior),,Jurist Rechtsbijstand (medior),Brunel,2024-07-22,2024-09-19,0,1,59.0
Privacy Officer,privacy officer,,Privacy Officer,Brunel,2024-02-14,2024-04-14,0,1,60.0
Project Engineer Offshore Wind,project engineer offshore wind,,Project Engineer Offshore Wind,Brunel,2024-04-22,2024-06-26,0,1,65.0
Market & Digital Data Scientist - Philips,market & digital data scientist - philips,Datawetenschapper,Market & Digital Data Scientist - Philips,Brunel,2019-02-08,2019-02-27,0,1,19.0
Naval Architect,naval architect,Marinearchitect,Naval Architect,Brunel,2019-08-12,2019-09-05,0,1,24.0
Project Manager Marketing,project manager marketing,Projectmanager,Project Manager Marketing,Brunel,2017-10-03,2017-10-06,0,1,3.0
Project Control & Scheduling Manager,project control & scheduling manager,,Project Control & Scheduling Manager,Brunel,2019-03-25,2019-04-23,0,1,29.0
Business Analyst,business analyst,Bedrijfsanalist,Business Analyst,Brunel,2024-09-16,2024-10-16,0,1,30.0
Overheidsjurist Omgevingsrecht,overheidsjurist omgevingsrecht,,Overheidsjurist Omgevingsrecht,Brunel,2024-06-03,2024-08-18,0,1,76.0
FPGA Design Engineer,fpga design engineer,Designingenieur,FPGA Design Engineer,Brunel,2017-11-29,2017-12-18,0,1,19.0
Junior Java Engineer,junior java engineer,,Junior Java Engineer,Brunel,2024-01-31,2024-03-28,0,1,57.0
Mechanical Engineer – Machinebouw,mechanical engineer - machinebouw,,Mechanical Engineer – Machinebouw,Brunel,2017-06-13,2017-07-13,0,1,30.0
GMP and Documentation specialist,gmp and documentation specialist,Documentatiespecialist,GMP and Documentation specialist,Brunel,2020-07-13,2020-08-03,0,1,21.0
Accountmanager Detachering,accountmanager detachering,,Accountmanager Detachering,Brunel,2012-11-09,2012-12-07,0,1,28.0
Commissioning Start Up Manager,commissioning start up manager,Opdrachtmanager,Commissioning Start Up Manager,Brunel,2019-08-19,2019-08-30,0,1,11.0
"Python developer, Senior - 80% Remote","python developer, senior - 80% remote",,"Python developer, Senior - 80% Remote",Brunel,2022-12-19,2023-01-23,0,1,35.0
Medewerker ICT-Servicedesk,medewerker ict-servicedesk,,Medewerker ICT-Servicedesk,Brunel,2024-07-01,2024-08-18,0,1,48.0
Project & Operations Manager (Sales Enablement),project & operations manager (sales enablement),Facilitair manager,Project & Operations Manager (Sales Enablement),Brunel,2022-06-28,2022-07-28,0,1,30.0
UX Designer,ux designer,User Experience-designer,UX Designer,Brunel,2017-11-28,2017-12-07,0,1,9.0
Jurist Wet open overheid,jurist wet open overheid,Ambtenaar,Jurist Wet open overheid,Brunel,2024-08-29,2024-09-13,0,1,15.0
Senior .Net Azure Developer,senior .net azure developer,,Senior .Net Azure Developer,Brunel,2023-05-15,2023-06-05,0,1,21.0
Document Controller,document controller,Archivist,Document Controller,Brunel,2024-09-26,2024-10-26,0,1,30.0
Teamleider Operations,teamleider operations,Teamleider operations,Teamleider Operations,Brunel,2019-08-30,2019-09-05,0,1,6.0
Global Talent & Learning Manager,global talent & learning manager,Talentmanager,Global Talent & Learning Manager,Brunel,2022-04-13,2022-05-13,0,1,30.0
Digital Customer Journey Expert,digital customer journey expert,Digitale specialist,Digital Customer Journey Expert,Brunel,2022-06-29,2022-07-29,0,1,30.0
Wabo Jurist,wabo jurist,,Wabo Jurist,Brunel,2024-01-31,2024-03-31,0,1,60.0
High Voltage Engineer,high voltage engineer,Ingenieur,High Voltage Engineer,Brunel,2018-02-06,2018-03-08,0,1,30.0
Mechanical / R&D Engineer,mechanical / r&d engineer,,Mechanical / R&D Engineer,Brunel,2023-05-15,2023-06-05,0,1,21.0
Agile Coach,agile coach,,Agile Coach,Brunel,2023-11-16,2023-11-17,0,1,1.0
Business Analyst,business analyst,,Business Analyst,Brunel,2021-05-01,2021-05-21,0,1,20.0
Interim UX designer,interim ux designer,User Experience-designer,Interim UX designer,Brunel,2018-08-27,2018-09-30,0,1,34.0
Draftsman Engineer,draftsman engineer,Technisch tekenaar,Draftsman Engineer,Brunel,2019-07-12,2019-08-11,0,1,30.0
Senior  SW Engineer On Board Diagnostics,senior sw engineer on board diagnostics,Senior software-ingenieur,Senior  SW Engineer On Board Diagnostics,Brunel,2019-10-18,2019-10-23,0,1,5.0
Werktuigbouwkundige,werktuigbouwkundige,Werktuigbouwkundige,Werktuigbouwkundige,Brunel,2022-07-22,2022-08-21,0,1,30.0
Medior ICT Support Medewerker,medior ict support medewerker,Ondersteuning,Medior ICT Support Medewerker,Brunel,2024-10-28,2024-11-21,0,1,24.0
Jurist Letselschade Achmea,jurist letselschade achmea,,Jurist Letselschade Achmea,Brunel,2024-04-22,2024-06-26,0,1,65.0
International HR Manager,international hr manager,Internationaal HR Manager,International HR Manager   ,Brunel,2022-06-28,2022-07-07,0,1,9.0
Junior Financial Controller,junior financial controller,Accountant,Junior Financial Controller,Brunel,2024-11-04,2024-11-29,0,1,25.0
Corporate Banking & Lending Traineeship Amersfoort,corporate banking & lending traineeship amersfoort,,Corporate Banking & Lending Traineeship Amersfoort,Brunel,2024-07-01,2024-08-30,0,1,60.0
Project Management Officer (PMO),project management officer (pmo),,Project Management Officer (PMO),Brunel,2024-05-13,2024-06-12,0,1,30.0
Industriële Automatisering Traineeship,industriële automatisering traineeship,,Industriële Automatisering Traineeship,Brunel,2017-02-27,2017-03-30,0,1,31.0
Junior Project Engineer,junior project engineer,,Junior Project Engineer,Brunel,2024-06-03,2024-07-24,0,1,51.0
Technical Project Manager,technical project manager,Technisch projectmanager,Technical Project Manager,Brunel,2020-08-06,2020-08-17,0,1,11.0
Creative Asset Producer,creative asset producer,Creatief producent,Creative Asset Producer,Brunel,2017-09-28,2017-10-02,0,1,4.0
Electrical Design Engineer,electrical design engineer,Ingenieur elektrisch ontwerp,Electrical Design Engineer,Brunel,2019-10-08,2019-10-29,0,1,21.0
Diagnostic Engineer,diagnostic engineer,Diagnosetechnicus,Diagnostic Engineer,Brunel,2021-10-20,2021-10-25,0,1,5.0
Jurist Arbeidsrecht,jurist arbeidsrecht,,Jurist Arbeidsrecht,Brunel,2022-12-02,2022-12-19,0,1,17.0
Analog IC Design Engineer,analog ic design engineer,Ingenieur analoge ontwerpen,Analog IC Design Engineer,Brunel,2019-02-13,2019-03-15,0,1,30.0
Growth hacker/ Marketeer,growth hacker/ marketeer,Growth Hacker,Growth hacker/ Marketeer,Brunel,2019-11-26,2019-12-03,0,1,7.0
Lead Process Engineer,lead process engineer,Hoofdprocestechnicus,Lead Process Engineer,Brunel,2019-04-09,2019-05-07,0,1,28.0
Quality Assurance Specialist,quality assurance specialist,Kwaliteitszorg,Quality Assurance Specialist,Brunel,2021-02-19,2021-03-10,0,1,19.0
Assistent uitvoerder civiel,assistent uitvoerder civiel,,Assistent uitvoerder civiel,Brunel,2024-04-10,2024-06-05,0,1,56.0
Visual designer,visual designer,Visueel ontwerper,Visual designer,Brunel,2018-06-13,2018-06-15,0,1,2.0
Teamlead FEC CDD Higher Risk Customers RDT,teamlead fec cdd higher risk customers rdt,,Teamlead FEC CDD Higher Risk Customers RDT,Brunel,2024-04-04,2024-05-31,0,1,57.0
Lab Technician,lab technician,,Lab Technician,Brunel,2023-02-27,2023-03-24,0,1,25.0
Digital Conversion Optimization Specialist (CRO) - Philips,digital conversion optimization specialist (cro) - philips,Conversiespecialist,Digital Conversion Optimization Specialist (CRO) - Philips,Brunel,2018-12-19,2019-01-14,0,1,26.0
International Recruiter,international recruiter,,International Recruiter,Brunel,2024-01-31,2024-03-31,0,1,60.0
Senior OBD Calibration Engineer,senior obd calibration engineer,Calibratietechnicus,Senior OBD Calibration Engineer,Brunel,2021-02-01,2021-02-11,0,1,10.0
Toezichthouder Veilig Graven,toezichthouder veilig graven,Technisch supervisor,Toezichthouder Veilig Graven,Brunel,2024-10-14,2024-11-13,0,1,30.0
